Category,Grouping,Label,Field,New/DAAO,Field type,Multi-value field?,Taxonomy,Requirement,Notes
Entry data,,About this entry,Project,New,Dropdown,No,Project,Required,
,,,Date entry created,New,Date entry,No,Single date,Required,
,,,Relationship to subject,New,Dropdown,No,Relationship to subject,Required,
,,,Data source,New,Free text entry,Yes,N/A,Required,
Biographical data,Name,Name,Title,DAAO,Free text entry,No,N/A,Recommended,
,,,Given names,DAAO,Free text entry,No,N/A,Required,
,,,Family names,DAAO,Free text entry,No,N/A,Recommended,
,,,Note,DAAO,Free text entry,No,N/A,Optional,
,,Also known as,Title,DAAO,Free text entry,No,N/A,Optional,
,,,Given names,DAAO,Free text entry,No,N/A,Optional,
,,,Family names,DAAO,Free text entry,No,N/A,Optional,
,,,Note,DAAO,Free text entry,No,N/A,Optional,
,Roles,Roles,Broad role,DAAO,Dropdown,Yes - all fields with 'Roles' label are replicated,From DAAO,Required,
,,,Detailed role,DAAO,Dropdown,Yes - all fields with 'Roles' label are replicated,From DAAO,Recommended,
,,Other occupations,Job title,DAAO: field there is just called 'Title',Free text entry,Yes - all fields with 'Other occupations' label are replicated,N/A,Optional,
,,,Occupation type,DAAO,Dropdown,Yes - all fields with 'Other occupations' label are replicated,From DAAO: ANZSIC 2006 classification,Optional,Taxonomy available here: https://www.abs.gov.au/ausstats/abs@.nsf/Previousproducts/1292.0Main%20Features12006%20(Revision%201.0)?opendocument&tabname=Summary&prodno=1292.0&issue=2006%20(Revision%201.0)&num=&view=
,,,Start date,DAAO,Year entry,Yes - all fields with 'Other occupations' label are replicated,Year only,Optional,
,,,Precision,DAAO,Dropdown,Yes - all fields with 'Other occupations' label are replicated,From DAAO,Optional,
,,,Approximate,DAAO,Checkbox,Yes - all fields with 'Other occupations' label are replicated,N/A,Optional,
,,,End date,DAAO,Year entry,Yes - all fields with 'Other occupations' label are replicated,Year only,Optional,
,,,Precision,DAAO,Dropdown,Yes - all fields with 'Other occupations' label are replicated,From DAAO,Optional,
,,,Approximate,DAAO,Checkbox,Yes - all fields with 'Other occupations' label are replicated,N/A,Optional,
,,,Place,New,Free text entry,Yes - all fields with 'Other occupations' label are replicated,N/A,Optional,
,,,Location,New,Geographic coordinates entry,Yes - all fields with 'Other occupations' label are replicated,Coordinates format,Recommended,
,Origins and identity,Birth,Date,DAAO,Date entry,No,Single date,Required,
,,,Precision,DAAO,Dropdown,No,From DAAO,Required,
,,,Approximate,DAAO,Checkbox,No,N/A,Optional,
,,,Place,New,Free text entry,No,N/A,Required,
,,,Location,New,Geographic coordinates entry,No,Coordinates format,Required,
,,,Note,DAAO,Free text entry,No,N/A,Optional,
,,Death,Date,DAAO,Date entry,No,Single date,Required,
,,,Precision,DAAO,Dropdown,No,From DAAO,Required,
,,,Approximate,DAAO,Checkbox,No,N/A,Optional,
,,,Place,New,Free text entry,No,N/A,Required,
